subject,category,term,definition,,,
LC AgScience,Plant Science,Tillering,The production of side shoots by a grass plant.,,,
LC AgScience,Animal Science,Ruminant,"An animal with a four-chambered stomach (rumen, reticulum, omasum, abomasum) that chews the cud, e.g., cattle, sheep.",,,
LC AgScience,Animal Science,Monogastric,"An animal with a single-chambered stomach, e.g., pig, human.",,,
LC AgScience,Animal Science,Lactation,The secretion of milk from the mammary glands.,,,
LC AgScience,Animal Science,Colostrum,"The first milk produced by a mammal after giving birth, rich in antibodies.",,,
LC AgScience,Animal Science,Gestation Period,The length of pregnancy.,,,
LC AgScience,Animal Science,Oestrous Cycle,The recurring reproductive cycle in female mammals.,,,
LC AgScience,Animal Science,Artificial Insemination (AI),The process of collecting sperm from a male and manually depositing it into the reproductive tract of a female.,,,
LC AgScience,Animal Science,Progeny Testing,Evaluating the genetic merit of a sire by assessing the performance of its offspring.,,,
LC AgScience,Animal Science,Cross-breeding,Mating animals from two different breeds to produce offspring with hybrid vigour.,,,
LC AgScience,Animal Science,Hybrid Vigour (Heterosis),The tendency of a crossbred individual to show qualities superior to both parents.,,,
LC AgScience,Animal Science,Carbohydrates,"Nutrients that provide the main source of energy, composed of carbon, hydrogen, and oxygen.",,,
LC AgScience,Animal Science,Proteins,"Nutrients essential for growth and repair, made up of amino acids.",,,
LC AgScience,Animal Science,Fats (Lipids),Nutrients that provide a concentrated source of energy and are involved in hormone production.,,,
LC AgScience,Animal Science,Dry Matter Digestibility (DMD),The percentage of the dry matter in a feed that is absorbed by the animal.,,,
LC AgScience,Animal Science,Mastitis,"Inflammation of the mammary gland (udder) in female mammals, usually due to bacterial infection.",,,
LC AgScience,Animal Science,Hoof Rot,A common infectious disease of the feet of sheep and cattle.,,,
LC AgScience,Animal Science,Liver Fluke,A parasitic flatworm that infects the liver of ruminants.,,,
LC AgScience,Animal Science,Selective Grazing,When animals choose to eat certain plants and leave others.,,,
LC AgScience,Genetics,Gene,A segment of DNA that codes for a specific protein or trait.,,,
LC AgScience,Genetics,Allele,An alternative form of a gene.,,,
LC AgScience,Genetics,Homozygous,"Having two identical alleles for a particular trait (e.g., AA or aa).",,,
LC AgScience,Genetics,Heterozygous,"Having two different alleles for a particular trait (e.g., Aa).",,,
LC AgScience,Genetics,Genotype,The genetic makeup of an organism.,,,
LC AgScience,Genetics,Phenotype,"The observable characteristics of an organism, resulting from its genotype and the environment.",,,
LC AgScience,Genetics,Dominant Allele,An allele that expresses its trait even when a recessive allele is present.,,,
LC AgScience,Genetics,Recessive Allele,An allele that is only expressed when two copies are present.,,,
LC AgScience,Genetics,Mendel's First Law (Law of Segregation),"During gamete formation, the two alleles for a trait separate from each other, so that each gamete receives only one allele.",,,
LC AgScience,Genetics,Mendel's Second Law (Law of Independent Assortment),Alleles for different traits are distributed to gametes independently of one another.,,,
LC AgScience,Genetics,DNA (Deoxyribonucleic Acid),"The molecule that carries the genetic instructions for the development, functioning, growth, and reproduction of all known organisms.",,,
LC AgScience,Genetics,Chromosome,"A thread-like structure of nucleic acids and protein found in the nucleus, carrying genetic information in the form of genes.",,,
LC AgScience,Genetics,Mitosis,"Cell division that results in two daughter cells each having the same number and kind of chromosomes as the parent nucleus, typical of ordinary tissue growth.",,,
LC AgScience,Genetics,Meiosis,"Cell division that results in four daughter cells each with half the number of chromosomes of the parent cell, as in the production of gametes.",,,
LC AgScience,Genetics,Genetic Engineering,The direct manipulation of an organism's genes using biotechnology.,,,
LC AgScience,Ecology,Ecosystem,A community of living organisms interacting with their physical environment.,,,
LC AgScience,Ecology,Habitat,"The natural home or environment of an animal, plant, or other organism.",,,
LC AgScience,Ecology,Niche,The role an organism plays in its ecosystem.,,,
LC AgScience,Ecology,Producer,"An organism that produces its own food, usually through photosynthesis (e.g., plants).",,,
LC AgScience,Ecology,Consumer,An organism that obtains energy by feeding on other organisms.,,,
LC AgScience,Ecology,Decomposer,"An organism, especially a soil bacterium, fungus, or invertebrate, that breaks down dead organic material.",,,
LC AgScience,Ecology,Food Chain,A series of organisms each dependent on the next as a source of food.,,,
LC AgScience,Ecology,Symbiosis,A close and long-term interaction between two different biological species.,,,
LC AgScience,Ecology,Eutrophication,"The enrichment of a body of water with nutrients, typically nitrogen and phosphorus, leading to excessive growth of algae and depletion of oxygen.",,,
LC AgScience,Farm Management,Grassland Management,The practice of maintaining pasture and meadows to provide feed for livestock.,,,
LC AgScience,Farm Management,Stocking Rate,The number of animals on a given amount of land over a certain period of time.,,,
LC AgScience,Farm Management,Paddock Grazing,Dividing a field into smaller sections (paddocks) and rotating livestock through them.,,,
LC AgScience,Farm Management,Conservation,"The protection of animals, plants, and natural resources.",,,
LC AgScience,Farm Management,Blight (in potatoes),"A disease caused by a fungus-like organism that causes rapid and complete browning and death of plant tissues such as leaves, flowers, and stems.",,,
LC AgScience,Farm Management,Weed,"A plant considered undesirable in a particular situation, 'a plant in the wrong place'.",,,
LC AgScience,Farm Management,Pesticide,A substance used for destroying insects or other organisms harmful to cultivated plants or to animals.,,,
LC AgScience,Farm Management,Herbicide,"A substance that is toxic to plants, used to destroy unwanted vegetation.",,,
LC AgScience,Farm Management,Fungicide,A chemical that destroys fungus.,,,
LC AgScience,Farm Management,Integrated Pest Management (IPM),"An ecosystem-based strategy that focuses on long-term prevention of pests through a combination of techniques such as biological control, habitat manipulation, and use of resistant varieties.",,,
LC Biology,The Cell,Cell,"The basic structural, functional, and biological unit of all known organisms.",,,
LC Biology,The Cell,Prokaryotic Cell,"A simple cell lacking a nucleus and other membrane-bound organelles (e.g., bacteria).",,,
LC Biology,The Cell,Eukaryotic Cell,"A complex cell containing a nucleus and other membrane-bound organelles (e.g., animal and plant cells).",,,
LC Biology,The Cell,Nucleus,The organelle that contains the cell's genetic material (DNA) and controls cell activities.,,,
LC Biology,The Cell,Cytoplasm,"The jelly-like substance that fills the cell, holding all the organelles in place.",,,
LC Biology,The Cell,Cell Membrane,"A thin, flexible boundary that surrounds the cytoplasm and controls what enters and leaves the cell.",,,
LC Biology,The Cell,Cell Wall,A rigid outer layer found in plant and fungal cells that provides support and protection.,,,
LC Biology,The Cell,Chloroplast,The organelle in plant cells that contains chlorophyll and is the site of photosynthesis.,,,
LC Biology,The Cell,Mitochondrion,"The 'powerhouse' of the cell, where aerobic respiration occurs to release energy.",,,
LC Biology,The Cell,Ribosome,The organelle responsible for protein synthesis.,,,
LC Biology,The Cell,Vacuole,"A fluid-filled sac; large and central in plant cells, storing water and maintaining turgor.",,,
LC Biology,The Cell,Tissue,A group of similar cells working together to perform a specific function.,,,
LC Biology,The Cell,Organ,A group of different tissues working together to perform a specific function.,,,
LC Biology,The Cell,Organ System,A group of organs that work together to perform a specific function.,,,
LC Biology,The Cell,Mitosis,Cell division that results in two genetically identical diploid daughter cells.,,,
LC Biology,The Cell,Meiosis,Cell division that results in four genetically different haploid daughter cells (gametes).,,,
LC Biology,The Cell,Chromosome,"A thread-like structure of nucleic acids and protein found in the nucleus, carrying genetic information in the form of genes.",,,
LC Biology,The Cell,Chromatid,One of two identical halves of a duplicated chromosome.,,,
LC Biology,The Cell,Centromere,The region of a chromosome where the two sister chromatids are joined.,,,
LC Biology,The Cell,Spindle Fibres,Protein structures that form during cell division to pull chromosomes apart.,,,
LC Biology,The Cell,Cytokinesis,The division of the cytoplasm to form two separate daughter cells.,,,
LC Biology,The Cell,Interphase,"The stage of the cell cycle where the cell grows, copies its DNA, and prepares for division.",,,
LC Biology,The Cell,Diploid,"A cell containing two complete sets of chromosomes, one from each parent (2n).",,,
LC Biology,The Cell,Haploid,A cell containing a single set of unpaired chromosomes (n).,,,
LC Biology,The Cell,Osmosis,The net movement of water molecules from a region of higher water concentration to a region of lower water concentration across a semi-permeable membrane.,,,
LC Biology,The Cell,Diffusion,The net movement of particles from an area of higher concentration to an area of lower concentration.,,,
LC Biology,The Cell,Turgor Pressure,The pressure exerted by the fluid contents of a plant cell against the cell wall.,,,
LC Biology,Genetics,DNA,"Deoxyribonucleic acid, the molecule that carries the genetic instructions for all known organisms.",,,
LC Biology,Genetics,RNA,"Ribonucleic acid, a molecule that plays a role in protein synthesis.",,,
LC Biology,Genetics,Gene,A segment of DNA that codes for a specific protein.,,,
LC Biology,Genetics,Allele,A variant form of a gene.,,,
LC Biology,Genetics,Genotype,The genetic makeup of an organism.,,,
LC Biology,Genetics,Phenotype,"The observable physical or biochemical characteristics of an organism, determined by both its genotype and environmental factors.",,,
LC Biology,Genetics,Dominant Allele,An allele that expresses its trait even when only one copy is present.,,,
LC Biology,Genetics,Recessive Allele,An allele that expresses its trait only when two copies are present.,,,
LC Biology,Genetics,Homozygous,Having two identical alleles for a particular gene.,,,
LC Biology,Genetics,Heterozygous,Having two different alleles for a particular gene.,,,
LC Biology,Genetics,Monohybrid Cross,A cross between two organisms that are heterozygous for a single gene.,,,
LC Biology,Genetics,Dihybrid Cross,A cross between two organisms that are heterozygous for two different genes.,,,
LC Biology,Genetics,Punnett Square,A diagram used to predict the outcome of a genetic cross.,,,
LC Biology,Genetics,Codon,A sequence of three nucleotides that together form a unit of genetic code.,,,
LC Biology,Genetics,Transcription,The process of copying a segment of DNA into RNA.,,,
LC Biology,Genetics,Translation,The process of converting the information in mRNA into a sequence of amino acids to form a protein.,,,
LC Biology,Genetics,Genetic Engineering,The deliberate modification of the characteristics of an organism by manipulating its genetic material.,,,
LC Biology,Genetics,Mutation,A permanent change in the DNA sequence.,,,
LC Biology,Genetics,Mutagen,A physical or chemical agent that changes the genetic material.,,,
LC Biology,Genetics,Recombinant DNA,DNA that has been formed artificially by combining constituents from different organisms.,,,
LC Biology,Genetics,Vector,A DNA molecule used as a vehicle to artificially carry foreign genetic material into another cell.,,,
LC Biology,Genetics,Plasmid,"A small, circular DNA molecule found in bacteria that is often used as a vector in genetic engineering.",,,
LC Biology,Genetics,Restriction Enzyme,An enzyme that cuts DNA at specific recognition sites.,,,
LC Biology,Genetics,Ligase,An enzyme that joins DNA fragments together.,,,
LC Biology,Genetics,Cloning,The process of producing genetically identical individuals.,,,
LC Biology,Genetics,DNA Profiling,A technique used to identify individuals by analysing their DNA.,,,
LC Biology,Human Biology - Digestion,Digestive System,The system that breaks down food into molecules the body can absorb.,,,
LC Biology,Human Biology - Digestion,Mouth,"The first part of the digestive system, where food is chewed.",,,
LC Biology,Human Biology - Digestion,Saliva,A fluid produced by glands in the mouth that contains enzymes to begin digestion.,,,
LC Biology,Human Biology - Digestion,Amylase,An enzyme in saliva and the pancreas that breaks down carbohydrates.,,,
LC Biology,Human Biology - Digestion,Oesophagus,The muscular tube that connects the pharynx to the stomach.,,,
LC Biology,Human Biology - Digestion,Peristalsis,The muscular contractions that move food through the digestive tract.,,,
LC Biology,Human Biology - Digestion,Stomach,"A muscular, hollow organ where food is churned and mixed with acid and enzymes.",,,
LC Biology,Human Biology - Digestion,Pepsin,A stomach enzyme that breaks down proteins.,,,
LC Biology,Human Biology - Digestion,Small Intestine,The part of the digestive tract where most chemical digestion and nutrient absorption occurs.,,,
LC Biology,Human Biology - Digestion,Villi,Tiny finger-like projections in the small intestine that increase surface area for absorption.,,,
LC Biology,Human Biology - Digestion,Large Intestine,The part of the digestive tract that absorbs water and passes undigestible material from the body.,,,
LC Biology,Human Biology - Digestion,Liver,"An organ that produces bile, detoxifies the blood, and processes nutrients.",,,
LC Biology,Human Biology - Digestion,Bile,A fluid produced by the liver that aids in fat digestion.,,,
LC Biology,Human Biology - Digestion,Pancreas,An organ that produces digestive enzymes and hormones like insulin.,,,
LC Biology,Human Biology - Digestion,Carbohydrate,A macronutrient that is the main source of energy for the body.,,,
LC Biology,Human Biology - Digestion,Protein,A macronutrient essential for growth and repair of body tissues.,,,
LC Biology,Human Biology - Digestion,Fat,A macronutrient that provides concentrated energy.,,,
LC Biology,Human Biology - Digestion,Vitamin,An organic micronutrient required for normal metabolism.,,,
LC Biology,Human Biology - Digestion,Mineral,An inorganic micronutrient required for normal body function.,,,
LC Biology,Human Biology - Digestion,Fibre,Indigestible plant matter that aids in the movement of food through the digestive system.,,,
LC Biology,Human Biology - Circulation,Heart,A muscular pump that circulates blood throughout the body.,,,
LC Biology,Human Biology - Circulation,Artery,A blood vessel that carries oxygenated blood away from the heart.,,,
LC Biology,Human Biology - Circulation,Vein,A blood vessel that carries deoxygenated blood back to the heart.,,,
LC Biology,Human Biology - Circulation,Capillary,"The smallest blood vessel, where exchange of gases, nutrients, and waste occurs.",,,
LC Biology,Human Biology - Circulation,Blood,"A fluid that transports oxygen, nutrients, hormones, and waste products.",,,
LC Biology,Human Biology - Circulation,Red Blood Cell,A cell that contains haemoglobin and transports oxygen.,,,
LC Biology,Human Biology - Circulation,White Blood Cell,A cell of the immune system that fights infection.,,,
LC Biology,Human Biology - Circulation,Platelet,A cell fragment that helps in blood clotting.,,,
LC Biology,Human Biology - Circulation,Plasma,The liquid component of blood.,,,
LC Biology,Human Biology - Circulation,Haemoglobin,The protein in red blood cells that binds to oxygen.,,,
LC Biology,Human Biology - Respiration,Lungs,The primary organs of the respiratory system.,,,
LC Biology,Human Biology - Respiration,Trachea,"The windpipe, which carries air to the lungs.",,,
LC Biology,Human Biology - Respiration,Bronchus,A tube that branches from the trachea into the lungs.,,,
LC Biology,Human Biology - Respiration,Alveolus,A tiny air sac in the lungs where gas exchange takes place.,,,
LC Biology,Human Biology - Respiration,Diaphragm,The muscle below the lungs that contracts and relaxes to facilitate breathing.,,,
LC Biology,Human Biology - Respiration,Gas Exchange,The process by which oxygen is taken in and carbon dioxide is expelled.,,,
LC Biology,Human Biology - Respiration,Aerobic Respiration,The process of releasing energy from glucose in the presence of oxygen.,,,
LC Biology,Human Biology - Respiration,Anaerobic Respiration,The process of releasing energy from glucose without oxygen.,,,
LC Biology,Human Biology - Respiration,Cilia,Hair-like structures that help move mucus and trapped particles out of the respiratory tract.,,,
LC Biology,Human Biology - Nervous System,Central Nervous System (CNS),The brain and spinal cord.,,,
LC Biology,Human Biology - Nervous System,Peripheral Nervous System (PNS),The nerves outside the brain and spinal cord.,,,
LC Biology,Human Biology - Nervous System,Neuron,A nerve cell that transmits electrical signals.,,,
LC Biology,Human Biology - Nervous System,Synapse,The junction between two neurons where a signal is transmitted.,,,
LC Biology,Human Biology - Nervous System,Neurotransmitter,A chemical messenger that crosses the synapse.,,,
LC Biology,Human Biology - Nervous System,Reflex Action,An involuntary and rapid response to a stimulus.,,,
LC Biology,Human Biology - Nervous System,Reflex Arc,The pathway taken by a nerve impulse in a reflex action.,,,
LC Biology,Human Biology - Endocrine System,Hormone,A chemical messenger produced by an endocrine gland and transported by the blood.,,,
LC Biology,Human Biology - Endocrine System,Endocrine Gland,A gland that secretes hormones directly into the bloodstream.,,,
LC Biology,Human Biology - Endocrine System,Pancreas,An organ that produces the hormones insulin and glucagon to regulate blood sugar.,,,
LC Biology,Human Biology - Excretory System,Kidney,An organ that filters waste products from the blood to produce urine.,,,
LC Biology,Human Biology - Excretory System,Nephron,The functional unit of the kidney that filters blood.,,,
LC Biology,Human Biology - Excretory System,Ureter,The tube that carries urine from the kidney to the bladder.,,,
LC Biology,Human Biology - Excretory System,Bladder,The organ that stores urine.,,,
LC Biology,Human Biology - Excretory System,Excretion,The removal of metabolic waste from the body.,,,
LC Biology,Human Biology - Reproduction,Testis,The male reproductive organ that produces sperm.,,,
LC Biology,Human Biology - Reproduction,Ovary,The female reproductive organ that produces eggs.,,,
LC Biology,Human Biology - Reproduction,Menstrual Cycle,The cycle of hormonal changes that prepares the female body for a possible pregnancy.,,,
LC Biology,Human Biology - Reproduction,Fertilisation,The fusion of a male gamete (sperm) and a female gamete (egg).,,,
LC Biology,Human Biology - Reproduction,Implantation,The attachment of a fertilised egg to the uterine wall.,,,
LC Biology,Human Biology - Reproduction,Placenta,An organ that develops during pregnancy to provide nutrients and oxygen to the foetus.,,,
LC Biology,Human Biology - Reproduction,Embryo,A developing organism from fertilisation until about the eighth week.,,,
LC Biology,Human Biology - Reproduction,Foetus,A developing organism from the ninth week of pregnancy until birth.,,,
LC Biology,Human Biology - Reproduction,Gestation,The period of development in the uterus from conception to birth.,,,
LC Biology,Plant Biology,Root,The part of a plant that anchors it and absorbs water and nutrients.,,,
LC Biology,Plant Biology,Stem,The main body of a plant that supports the leaves and transports substances.,,,
LC Biology,Plant Biology,Leaf,The main site of photosynthesis in a plant.,,,
LC Biology,Plant Biology,Stomata,Tiny pores on the surface of a leaf that allow for gas exchange.,,,
LC Biology,Plant Biology,Guard Cells,Specialised cells that surround and control the opening and closing of stomata.,,,
LC Biology,Plant Biology,Xylem,Vascular tissue in plants that transports water and minerals from the roots to the leaves.,,,
LC Biology,Plant Biology,Phloem,Vascular tissue that transports sugars from the leaves to other parts of the plant.,,,
LC Biology,Plant Biology,Transpiration,"The process of water movement through a plant and its evaporation from aerial parts, such as leaves, stems, and flowers.",,,
LC Biology,Plant Biology,Pollination,The transfer of pollen from the anther to the stigma.,,,
LC Biology,Plant Biology,Germination,The process by which a plant grows from a seed.,,,
LC Biology,Plant Biology,Photosynthesis,The process used by plants to convert light energy into chemical energy.,,,
LC Biology,Plant Biology,Chlorophyll,The green pigment in plants that absorbs light energy for photosynthesis.,,,
LC Biology,Plant Biology,Flower,The reproductive part of a plant.,,,
LC Biology,Plant Biology,Anther,The part of a stamen that produces pollen.,,,
LC Biology,Plant Biology,Stigma,The receptive tip of a carpel that receives pollen.,,,
LC Biology,Plant Biology,Ovary,The part of the flower that contains the ovules.,,,
LC Biology,Plant Biology,Ovule,The part of a flower that develops into a seed after fertilisation.,,,
LC Biology,Plant Biology,Seed,A fertilised ovule that contains an embryo and a food store.,,,
LC Biology,Ecology,Ecosystem,All the living and non-living things in a specific area.,,,
LC Biology,Ecology,Habitat,The natural home or environment of an organism.,,,
LC Biology,Ecology,Niche,The role and position a species has in its environment.,,,
LC Biology,Ecology,Community,All the different populations of species that live together in a particular area.,,,
LC Biology,Ecology,Population,A group of individuals of the same species living in the same area.,,,
LC Biology,Ecology,Biotic Factors,"The living components of an ecosystem (e.g., plants, animals).",,,
LC Biology,Ecology,Abiotic Factors,"The non-living components of an ecosystem (e.g., light, temperature, water, soil).",,,
LC Biology,Ecology,Food Chain,A linear sequence of organisms where nutrients and energy are transferred from one trophic level to the next.,,,
LC Biology,Ecology,Food Web,A complex network of interconnected food chains in an ecosystem.,,,
LC Biology,Ecology,Producer,"An organism that produces its own food, usually through photosynthesis.",,,
LC Biology,Ecology,Consumer,An organism that obtains energy by eating other organisms.,,,
LC Biology,Ecology,Decomposer,An organism that breaks down dead organic matter.,,,
LC Biology,Ecology,Trophic Level,The position an organism occupies in a food chain.,,,
LC Biology,Ecology,Carbon Cycle,"The biogeochemical cycle by which carbon is exchanged among the biosphere, geosphere, hydrosphere, and atmosphere.",,,
LC Biology,Ecology,Nitrogen Cycle,"The biogeochemical cycle by which nitrogen is converted into multiple chemical forms as it circulates among the atmosphere, terrestrial, and marine ecosystems.",,,
LC Biology,Ecology,Eutrophication,"The excessive richness of nutrients in a body of water, frequently due to runoff from the land, which causes a dense growth of plant life and death of animal life from lack of oxygen.",,,
LC Biology,Ecology,Pollution,The presence of a substance in the environment that has harmful or poisonous effects.,,,
LC Biology,Ecology,Conservation,"The protection, preservation, management, or restoration of natural environments and ecosystems.",,,
LC Biology,Ecology,Biodiversity,The variety of life in the world or in a particular ecosystem.,,,
LC Biology,Micro-organisms,Micro-organism,"A microscopic organism, especially a bacterium, virus, or fungus.",,,
LC Biology,Micro-organisms,Bacterium,A single-celled prokaryotic microorganism.,,,
LC Biology,Micro-organisms,Virus,A non-living microscopic infectious agent that can only replicate inside the living cells of other organisms.,,,
LC Biology,Micro-organisms,Fungus,"A eukaryotic organism that includes yeasts, moulds, and mushrooms.",,,
LC Biology,Micro-organisms,Pathogen,A microorganism that can cause disease.,,,
LC Biology,Micro-organisms,Antibiotic,A medicine that inhibits the growth of or destroys microorganisms.,,,
LC Biology,Micro-organisms,Aseptic Technique,A procedure performed under sterile conditions to prevent contamination.,,,
LC Biology,Micro-organisms,Sterilisation,The process of making something free from bacteria or other living microorganisms.,,,
LC Biology,Micro-organisms,Fermentation,"A metabolic process that converts sugar to acids, gases, or alcohol using yeast or bacteria.",,,
LC Biology,Micro-organisms,Decomposition,The process by which organic substances are broken down into simpler matter.,,,
LC Biology,Micro-organisms,Saprophyte,An organism that feeds on dead organic material.,,,
LC Biology,The Cell,Centriole,"A small set of microtubules arranged in a specific way, found in animal cells, involved in cell division.",,,
LC Biology,The Cell,Cytoskeleton,A network of protein filaments and tubules in the cytoplasm that gives a cell shape and allows for movement.,,,
LC Biology,The Cell,Endoplasmic Reticulum (ER),A network of membranes involved in the synthesis and transport of proteins and lipids., thus appearing to have 'drifted' across the ocean bed.,,
LC Biology,The Cell,Golgi Apparatus,"A stack of flattened sacs that modifies, sorts, and packages proteins and lipids for secretion or delivery to other organelles.",,,
LC Biology,The Cell,Lysosome,A cell organelle that contains digestive enzymes and is involved in waste breakdown.,,,
LC Biology,The Cell,Prophase,"The first stage of mitosis, where chromosomes become visible as paired chromatids and the nuclear envelope disappears.",,,
LC Biology,The Cell,Metaphase,"The second stage of mitosis, where the chromosomes align along the cell's equatorial plate.",,,
LC Biology,The Cell,Anaphase,"The third stage of mitosis, where the chromatids separate and move to opposite poles of the cell.",,,
LC Biology,The Cell,Telophase,"The final stage of mitosis, where two new nuclei are formed around the separated chromosomes.",,,
LC Biology,The Cell,Interphase,"The period of the cell cycle between cell divisions, including G1, S, and G2 phases.",,,
LC Biology,Genetics,Karyotype,A display of an individual's complete set of chromosomes.,,,
LC Biology,Genetics,Pedigree,A chart that shows the inheritance of a trait through several generations of a family.,,,
LC Biology,Genetics,Sex-linked Inheritance,Inheritance of genes located on the sex chromosomes (X or Y).,,,
LC Biology,Genetics,Incomplete Dominance,"A form of inheritance where one allele does not completely mask the other, resulting in a blended phenotype.",,,
LC Biology,Genetics,Co-dominance,A form of inheritance where both alleles are expressed equally., ash, and gases erupt.,
LC Biology,Genetics,Genetic Screening,Testing for genetic disorders in individuals or populations., formed by the explosive eruption of magma.,,
LC Biology,Genetics,Gene Therapy,The process of inserting a gene into a person's cells to treat a genetic disorder.,000 years.,,
LC Biology,Genetics,Replication,The process of copying DNA., but supposed to erupt again.,,
LC Biology,Human Biology - Digestion,Salivary Glands,Glands in the mouth that produce saliva.,000 years and is not expected to erupt again in a comparable time scale of the future.,,
LC Biology,Human Biology - Digestion,Bile,A fluid produced by the liver that aids in fat digestion and absorption.,,,
LC Biology,Human Biology - Digestion,Gall Bladder,A small organ that stores and concentrates bile.,,,
LC Biology,Human Biology - Digestion,Pancreas,An organ that produces digestive enzymes and hormones.,,,
LC Biology,Human Biology - Digestion,Villi,"Tiny, finger-like projections in the small intestine that absorb nutrients.",,,
LC Biology,Human Biology - Digestion,Microvilli,Even smaller projections on the surface of villi that further increase surface area., and are a result of earthquakes, volcanic eruptions, or magma movement.
LC Biology,Human Biology - Circulation,Pulmonary Artery,The artery that carries deoxygenated blood from the heart to the lungs.,,,
LC Biology,Human Biology - Circulation,Pulmonary Vein,The vein that carries oxygenated blood from the lungs to the heart.,,,
LC Biology,Human Biology - Circulation,Aorta,The main artery that carries oxygenated blood from the heart to the rest of the body.,,,
LC Biology,Human Biology - Circulation,Vena Cava,The large vein that carries deoxygenated blood from the body back to the heart.,,,
LC Biology,Human Biology - Circulation,Systolic Pressure,The pressure in the arteries when the heart contracts.,,,
LC Biology,Human Biology - Circulation,Diastolic Pressure,The pressure in the arteries when the heart is at rest.,,,
LC Biology,Human Biology - Circulation,Coronary Artery,An artery that supplies blood to the heart muscle itself.,,,
LC Biology,Human Biology - Respiration,Inhalation,The process of breathing in.,,,
LC Biology,Human Biology - Respiration,Exhalation,The process of breathing out.,,,
LC Biology,Human Biology - Respiration,Larynx,The voice box.,,,
LC Biology,Human Biology - Respiration,Epiglottis,A flap of cartilage that covers the trachea during swallowing.,,,
LC Biology,Human Biology - Nervous System,Spinal Cord,"The long, thin bundle of nerves that extends from the brain down the back.",,,
LC Biology,Human Biology - Nervous System,Brain,The central organ of the nervous system.,,,
LC Biology,Human Biology - Nervous System,Sensory Neuron,A neuron that carries information from the sense organs to the CNS.,,,
LC Biology,Human Biology - Nervous System,Motor Neuron,A neuron that carries commands from the CNS to muscles or glands.,,,
